Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Ford Endeavour,2007,0.62,21.43,275647,Petrol,Individual,Manual,0
Mahindra KUV100,2016,3.58,16.35,118363,Petrol,Dealer,Manual,0
Renault Triber,2020,2.05,5.5,63738,Petrol,Dealer,Manual,1
Hyundai i20,2011,2.13,12.36,119794,Diesel,Dealer,Manual,0
Skoda Kodiaq,2021,14.95,23.3,32911,Petrol,Dealer,Manual,0
Maruti Dzire,2024,3.73,4.0,500,CNG,Individual,Manual,1
Maruti Celerio,2013,1.03,7.3,149324,CNG,Dealer,Manual,0
Hyundai Creta,2007,0.45,13.79,212926,Petrol,Individual,Automatic,1
Honda Brio,2024,19.13,20.91,500,Diesel,Dealer,Manual,3
BMW 7 Series,2012,3.57,44.58,195183,Diesel,Individual,Automatic,1
Maruti Baleno,2010,0.51,6.67,197748,CNG,Dealer,Manual,0
Tata Tigor,2020,8.11,16.29,64511,CNG,Dealer,Manual,0
BMW 3 Series,2006,1.53,53.06,217864,Petrol,Dealer,Manual,1
Chevrolet Sail,2013,1.65,9.16,193494,Diesel,Dealer,Manual,0
Hyundai Creta,2023,4.34,6.54,17020,Diesel,Dealer,Manual,0
Skoda Rapid,2022,22.67,27.6,25868,Diesel,Individual,Manual,0
Skoda Rapid,2024,13.8,12.97,500,Diesel,Individual,Manual,0
Hyundai Verna,2019,4.53,13.54,54688,CNG,Individual,Manual,0
Tata Tigor,2024,21.39,21.51,500,Petrol,Individual,Automatic,0
Mahindra Bolero,2017,4.4,20.57,80521,Diesel,Dealer,Manual,3
Hyundai Santro,2009,0.46,6.35,215391,CNG,Dealer,Automatic,0
Ford Figo,2003,0.89,26.71,240235,Petrol,Dealer,Manual,1
Toyota Yaris,2015,1.53,10.28,154548,Petrol,Individual,Manual,0
Honda Amaze,2019,7.78,17.22,44361,Diesel,Dealer,Manual,1
Hyundai Creta,2018,5.1,13.14,94638,Petrol,Dealer,Automatic,0
Skoda Superb,2019,9.23,23.24,46716,Petrol,Dealer,Manual,0
Honda CR-V,2023,5.25,6.75,12400,Petrol,Dealer,Manual,0
BMW X1,2021,21.83,41.71,44521,Petrol,Individual,Automatic,0
Volkswagen Jetta,2024,8.43,7.48,500,CNG,Dealer,Automatic,0
Maruti Dzire,2018,1.56,5.22,79604,CNG,Dealer,Manual,0
Hyundai i20,2018,5.44,13.87,93772,Petrol,Dealer,Automatic,0
Chevrolet Cruze,2023,5.86,7.45,7662,Petrol,Dealer,Automatic,1
Hyundai i10,2012,0.48,7.02,169431,Petrol,Dealer,Manual,1
Mahindra XUV500,2007,0.39,11.65,191528,Petrol,Individual,Manual,0
Renault Kwid,2024,2.89,3.48,500,Petrol,Individual,Manual,0
Mahindra XUV300,2023,9.74,11.2,13958,Petrol,Dealer,Manual,0
BMW X3,2013,2.69,56.84,177941,Diesel,Individual,Automatic,3
Ford EcoSport,2024,5.5,5.61,500,Diesel,Individual,Manual,0
Mahindra KUV100,2024,23.1,21.7,1735,Petrol,Dealer,Automatic,0
Hyundai Xcent,2021,6.52,9.09,57050,Diesel,Dealer,Manual,0
Honda City,2017,5.98,21.47,77683,Diesel,Individual,Automatic,1
Maruti Wagon R,2014,2.55,9.46,109194,Diesel,Dealer,Automatic,0
Volkswagen Ameo,2006,1.41,19.62,234066,Diesel,Dealer,Manual,0
Volkswagen Ameo,2015,0.99,6.06,89265,Petrol,Individual,Manual,0
Mahindra Marazzo,2022,4.8,7.96,32509,Petrol,Individual,Automatic,3
Hyundai Tucson,2019,4.42,9.0,51722,Diesel,Dealer,Automatic,0
Maruti Vitara Brezza,2010,0.46,11.9,215831,Petrol,Individual,Automatic,3
Ford EcoSport,2023,14.28,18.37,19181,Petrol,Individual,Manual,1
Renault Triber,2024,3.29,3.13,7317,CNG,Individual,Automatic,0
Maruti Swift,2018,2.37,7.65,48871,Petrol,Dealer,Manual,1
Maruti S-Cross,2018,2.06,5.5,59972,Petrol,Dealer,Manual,0
Maruti Celerio,2023,6.87,8.4,1963,Petrol,Individual,Automatic,0
Honda CR-V,2019,6.89,18.87,58435,Diesel,Individual,Automatic,1
Hyundai Xcent,2021,7.51,12.23,37324,Petrol,Individual,Manual,0
Mahindra Bolero,2012,1.16,7.98,151593,Diesel,Individual,Automatic,0
Mahindra Thar,2021,4.36,6.54,26032,Petrol,Dealer,Manual,0
Maruti Dzire,2022,8.4,10.86,19624,Diesel,Individual,Manual,0
Tata Nano,2010,0.95,16.58,152696,Diesel,Individual,Manual,1
Tata Hexa,2023,11.05,17.2,13515,Petrol,Individual,Automatic,3
Maruti Dzire,2020,5.45,9.16,51829,Diesel,Dealer,Manual,0
Hyundai Xcent,2012,0.73,12.22,101760,Petrol,Individual,Manual,1
Maruti Swift,2020,4.69,9.97,52190,Petrol,Individual,Automatic,1
Tata Hexa,2016,3.42,15.06,123071,Petrol,Individual,Automatic,0
Mahindra Thar,2016,1.55,10.96,123824,Petrol,Individual,Manual,1
Honda Civic,2017,3.8,23.94,127350,Diesel,Dealer,Manual,3
Hyundai Xcent,2019,3.45,13.73,81511,Petrol,Dealer,Manual,3
Mahindra Thar,2022,11.28,14.57,36472,Diesel,Dealer,Manual,0
Toyota Innova Crysta,2016,10.11,27.87,71714,Diesel,Dealer,Automatic,0
Nissan Kicks,2014,1.44,8.21,139133,Petrol,Dealer,Manual,0
Ford Aspire,2012,1.93,26.81,207211,Petrol,Individual,Manual,0
Maruti Wagon R,2019,2.11,5.06,79734,Petrol,Dealer,Manual,0
Maruti Celerio,2021,2.59,4.64,33687,Petrol,Dealer,Manual,0
Honda Civic,2024,21.68,22.63,500,Petrol,Dealer,Manual,3
Hyundai Verna,2018,3.9,14.39,98484,Diesel,Individual,Manual,1
Skoda Octavia,2021,8.77,17.43,48780,Petrol,Individual,Automatic,0
Hyundai Creta,2022,5.15,7.57,27145,Petrol,Individual,Manual,0
Nissan Micra,2023,10.54,12.23,18225,Diesel,Dealer,Automatic,0
Tata Tigor,2019,6.95,14.26,89417,Diesel,Dealer,Manual,0
Ford EcoSport,2013,1.34,11.0,154111,Petrol,Dealer,Manual,0
Mahindra Marazzo,2014,1.17,15.01,159746,Petrol,Individual,Manual,1
Volkswagen Jetta,2022,13.44,19.96,11661,CNG,Individual,Manual,0
Hyundai Tucson,2015,0.93,14.8,136435,CNG,Individual,Automatic,3
Renault Captur,2021,5.39,9.14,52849,Diesel,Dealer,Manual,1
Mahindra XUV300,2018,4.69,12.6,61892,Diesel,Individual,Manual,0
Hyundai Xcent,2017,2.28,8.54,113108,Diesel,Dealer,Manual,1
Tata Hexa,2004,0.48,18.06,297463,Petrol,Dealer,Automatic,0
Toyota Camry,2018,1.4,7.22,83953,Petrol,Dealer,Manual,3
Ford Freestyle,2018,7.45,27.62,57819,Petrol,Individual,Manual,1
Chevrolet Beat,2021,7.77,12.37,42583,Petrol,Dealer,Manual,0
Skoda Kodiaq,2013,2.2,9.03,86463,Diesel,Dealer,Manual,0
Maruti Vitara Brezza,2014,1.44,8.67,90529,Petrol,Individual,Manual,0
Maruti S-Cross,2006,0.3,9.04,248712,CNG,Individual,Manual,1
Volkswagen Ameo,2021,7.22,14.77,45583,Petrol,Individual,Automatic,3
Chevrolet Beat,2024,8.65,8.86,2227,Petrol,Dealer,Manual,1
Volkswagen Ameo,2020,4.06,9.42,66388,Petrol,Individual,Manual,1
Renault Kwid,2021,4.43,10.72,29963,Petrol,Dealer,Manual,3
Hyundai Verna,2021,9.54,15.61,36959,Diesel,Dealer,Manual,0
Tata Tiago,2015,4.15,13.55,95493,Diesel,Dealer,Manual,0
Mahindra Scorpio,2014,1.2,14.96,140155,Petrol,Individual,Manual,1
Chevrolet Spark,2024,5.85,5.94,500,Petrol,Individual,Automatic,0
Mahindra Bolero,2024,13.51,15.03,500,Diesel,Dealer,Manual,1
Toyota Etios,2019,4.24,13.44,63334,CNG,Dealer,Manual,1
Mahindra KUV100,2023,5.61,6.67,11030,Petrol,Individual,Manual,0
Tata Hexa,2021,9.76,18.99,30066,Petrol,Dealer,Automatic,1
Honda WR-V,2018,7.25,19.7,104400,Petrol,Dealer,Automatic,0
Hyundai i20,2010,0.49,7.53,212698,Diesel,Dealer,Manual,1
Hyundai i10,2013,0.91,8.72,169685,CNG,Individual,Manual,0
Maruti Dzire,2022,6.49,8.38,30799,Petrol,Individual,Automatic,0
Hyundai Venue,2018,2.68,9.61,87465,CNG,Individual,Manual,0
Renault Triber,2023,6.1,7.12,13653,Diesel,Dealer,Manual,1
Maruti Ertiga,2004,0.24,11.03,337183,Petrol,Dealer,Manual,1
Chevrolet Beat,2019,4.19,10.39,38767,Diesel,Individual,Manual,0
Mahindra Scorpio,2021,3.49,5.32,34974,Petrol,Individual,Manual,0
Honda Jazz,2023,18.01,22.53,8861,Petrol,Dealer,Manual,1
Tata Nexon,2012,2.62,19.43,178468,Diesel,Individual,Manual,0
Mahindra Scorpio,2013,0.63,5.08,185791,Petrol,Dealer,Automatic,0
Maruti S-Cross,2010,0.25,5.14,165951,CNG,Dealer,Manual,1
Hyundai Verna,2017,1.72,5.67,88848,Diesel,Individual,Manual,0
Hyundai i10,2023,9.04,11.1,14357,Petrol,Dealer,Manual,3
Mahindra Thar,2018,2.13,7.35,68518,CNG,Individual,Manual,0
Nissan Terrano,2024,9.07,8.79,500,Diesel,Dealer,Manual,0
Mahindra XUV500,2005,0.21,6.13,189217,Petrol,Individual,Manual,0
Hyundai Elite i20,2015,1.22,5.6,91101,Petrol,Dealer,Manual,0
Maruti Ciaz,2010,0.66,5.69,200733,Diesel,Dealer,Manual,0
Volkswagen Ameo,2014,2.7,18.83,169059,Petrol,Dealer,Manual,0
Maruti Alto,2011,0.46,7.74,204720,Petrol,Individual,Manual,0
Tata Nexon,2024,3.24,3.36,500,Petrol,Individual,Manual,0
Ford Freestyle,2014,4.09,27.04,128041,CNG,Dealer,Manual,0
Honda Jazz,2009,0.6,9.8,135631,Petrol,Individual,Automatic,0
Maruti Ertiga,2024,4.72,5.24,1150,Petrol,Individual,Manual,1
Ford Aspire,2024,14.89,15.17,11212,Diesel,Dealer,Manual,1
Maruti Ertiga,2013,0.44,4.29,145720,Petrol,Dealer,Automatic,1
Maruti Baleno,2021,3.4,5.29,41154,Diesel,Dealer,Manual,0
Hyundai Venue,2011,1.43,14.44,211705,Diesel,Individual,Manual,0
Honda Amaze,2018,3.78,12.9,88838,Petrol,Dealer,Manual,1
Hyundai Tucson,2019,4.94,9.11,86026,Diesel,Dealer,Manual,0
Hyundai Creta,2016,2.13,10.44,99679,Petrol,Individual,Manual,0
Nissan Micra,2016,2.62,12.99,69736,Petrol,Individual,Automatic,1
Audi Q5,2013,10.3,50.45,141148,Diesel,Dealer,Automatic,0
Toyota Innova,2017,3.6,32.01,88530,Petrol,Individual,Manual,3
Tata Bolt,2023,11.98,13.93,9992,Diesel,Individual,Automatic,0
Honda CR-V,2011,2.0,21.81,198813,Diesel,Dealer,Manual,1
Hyundai Xcent,2014,0.34,4.9,165759,Diesel,Individual,Automatic,3
Toyota Fortuner,2020,3.97,8.49,47592,Petrol,Dealer,Manual,0
Renault Duster,2013,2.1,9.94,110726,Diesel,Dealer,Manual,0
Hyundai Santro,2013,1.43,10.35,180788,Diesel,Individual,Manual,0
Honda Civic,2023,9.28,11.08,20106,Diesel,Individual,Automatic,3
Honda City,2016,3.89,24.69,106512,Petrol,Individual,Manual,1
Maruti Vitara Brezza,2024,9.02,9.39,500,Diesel,Dealer,Manual,0
Toyota Etios Cross,2015,10.86,34.27,121973,Diesel,Dealer,Manual,0
Volkswagen Tiguan,2024,13.89,15.64,5753,CNG,Individual,Manual,3
Toyota Innova Crysta,2003,0.39,24.37,365104,Diesel,Individual,Manual,3
Skoda Kodiaq,2016,1.51,8.44,122539,Diesel,Individual,Manual,1
Maruti Ciaz,2009,0.2,6.65,200644,Petrol,Individual,Automatic,1
Hyundai Venue,2013,0.53,12.04,124396,CNG,Dealer,Automatic,3
Toyota Yaris,2023,27.84,32.69,14331,Petrol,Dealer,Manual,0
Toyota Etios,2021,8.66,15.53,23895,Petrol,Dealer,Manual,0
Toyota Etios Cross,2024,6.6,7.86,500,Diesel,Dealer,Manual,1
Tata Hexa,2012,0.73,11.76,138819,Petrol,Individual,Automatic,1
Tata Safari,2019,3.56,15.07,86470,Petrol,Dealer,Manual,3
Maruti Baleno,2018,2.05,5.56,72352,Petrol,Dealer,Manual,0
Honda CR-V,2014,4.93,21.34,79005,Diesel,Individual,Manual,0
Tata Nano,2016,0.84,3.56,104862,Diesel,Individual,Manual,1
Mahindra XUV500,2021,5.95,8.96,50966,Petrol,Individual,Manual,0
Mahindra XUV300,2015,1.64,8.79,130662,Petrol,Dealer,Manual,0
Toyota Camry,2023,6.64,7.31,9089,CNG,Dealer,Manual,0
Maruti Alto,2024,11.9,11.69,500,Petrol,Individual,Manual,0
Toyota Etios,2024,16.53,18.14,500,Petrol,Dealer,Manual,0
Maruti Baleno,2009,0.21,7.15,218074,Petrol,Individual,Manual,1
Hyundai Elite i20,2022,7.32,9.71,18970,Diesel,Dealer,Manual,0
Maruti Dzire,2018,4.36,11.67,52963,CNG,Individual,Manual,0
Ford Figo,2014,1.22,6.03,107991,Petrol,Dealer,Automatic,0
Hyundai Elite i20,2012,0.66,7.11,171082,Diesel,Dealer,Manual,1
Tata Harrier,2019,7.21,16.04,85879,Petrol,Individual,Automatic,0
Maruti Vitara Brezza,2017,1.05,4.85,128776,Petrol,Dealer,Manual,0
Maruti Celerio,2019,2.15,4.74,61719,Petrol,Dealer,Manual,0
Audi Q7,2014,8.08,27.37,156795,Diesel,Dealer,Automatic,0
Volkswagen Ameo,2022,15.11,19.69,13394,Petrol,Dealer,Manual,0
Tata Harrier,2015,2.68,10.7,85490,Diesel,Individual,Manual,0
Ford Figo,2019,1.83,8.04,85489,Petrol,Individual,Manual,3
Maruti Alto,2022,2.82,4.02,29118,Diesel,Individual,Manual,0
Hyundai Xcent,2011,0.63,9.54,144073,Petrol,Individual,Manual,0
Hyundai Elite i20,2021,4.73,10.73,53939,Diesel,Individual,Manual,3
Tata Tigor,2024,19.58,16.13,9803,CNG,Dealer,Manual,0
Ford Freestyle,2018,3.02,8.61,67783,CNG,Dealer,Manual,0
Toyota Yaris,2005,1.02,17.17,196985,Diesel,Dealer,Manual,0
Maruti Ciaz,2008,0.91,8.4,142044,Diesel,Dealer,Manual,0
Volkswagen Ameo,2018,4.69,16.75,76869,Diesel,Individual,Automatic,1
Toyota Innova Crysta,2020,7.89,27.16,52749,Diesel,Individual,Manual,3
Mahindra Thar,2006,0.45,16.49,266434,Petrol,Individual,Manual,0
Hyundai Grand i10,2015,1.25,6.99,70499,CNG,Individual,Manual,0
Ford Endeavour,2015,1.04,12.38,85190,Petrol,Dealer,Manual,3
Hyundai Santro,2009,1.62,14.65,253996,Diesel,Dealer,Automatic,0
Toyota Innova Crysta,2008,1.02,18.95,165572,Diesel,Dealer,Manual,1
Hyundai Verna,2012,0.76,9.88,151592,Petrol,Individual,Manual,0
Hyundai Xcent,2024,6.12,6.48,500,Petrol,Dealer,Manual,1
Mercedes-Benz E-Class,2023,36.32,39.51,16414,Petrol,Dealer,Automatic,1
Tata Harrier,2018,1.23,4.11,89791,Petrol,Individual,Manual,0
Tata Nano,2023,8.88,10.79,9102,Petrol,Dealer,Manual,0
Hyundai Venue,2007,0.48,12.82,163389,Petrol,Dealer,Manual,1
Skoda Kodiaq,2009,0.55,16.55,232319,Petrol,Dealer,Manual,1
Hyundai Elite i20,2019,5.33,12.45,52920,CNG,Individual,Manual,0
Toyota Corolla,2018,1.9,5.55,100976,Diesel,Individual,Manual,0
Maruti Baleno,2016,2.76,10.48,102735,Petrol,Dealer,Automatic,0
Toyota Yaris,2018,7.77,34.68,57437,Petrol,Individual,Manual,1
Ford EcoSport,2021,4.59,6.81,31312,CNG,Dealer,Automatic,0
Toyota Etios,2013,1.86,10.4,97844,Diesel,Individual,Manual,0
Nissan Magnite,2013,1.6,13.71,176464,CNG,Dealer,Manual,0
Honda City,2016,2.83,14.37,122242,Diesel,Individual,Manual,1
Volkswagen Polo,2011,0.35,6.17,213907,Diesel,Individual,Manual,1
Tata Tiago,2024,12.74,11.21,500,Diesel,Dealer,Manual,3
Ford Aspire,2024,19.32,20.29,500,Diesel,Individual,Manual,0
Maruti Celerio,2011,0.76,10.79,209650,CNG,Individual,Automatic,0
Tata Safari,2016,2.32,9.53,125281,Petrol,Dealer,Manual,0
Hyundai Creta,2024,15.38,13.04,11289,Petrol,Dealer,Manual,0
Mahindra XUV500,2021,8.64,14.83,39874,CNG,Dealer,Automatic,1
Mercedes-Benz C-Class,2019,12.51,46.5,67685,Diesel,Individual,Automatic,3
Tata Tiago,2017,0.73,3.47,90780,Petrol,Individual,Manual,1
Maruti Ertiga,2010,0.3,7.33,161165,Petrol,Dealer,Manual,1
Hyundai Xcent,2007,0.52,12.9,147236,Petrol,Individual,Manual,0
Maruti Celerio,2012,0.23,4.3,146062,Petrol,Individual,Manual,1
Hyundai Grand i10,2020,2.58,5.62,44861,Petrol,Individual,Manual,0
Renault Duster,2024,4.1,4.14,1077,Petrol,Dealer,Manual,3
Maruti Ertiga,2017,2.6,8.88,84238,Diesel,Individual,Manual,1
Audi Q7,2019,21.28,38.23,56448,Diesel,Dealer,Automatic,0
Mahindra Marazzo,2017,3.19,10.48,91733,Diesel,Individual,Manual,0
Tata Nano,2023,8.78,10.22,8601,Petrol,Individual,Automatic,1
Chevrolet Cruze,2018,2.57,12.05,107566,Diesel,Individual,Automatic,3
Tata Tigor,2005,0.15,7.13,325194,Petrol,Individual,Manual,3
Ford Endeavour,2016,3.1,10.88,127834,Diesel,Dealer,Automatic,0
Ford Endeavour,2009,0.24,5.84,133193,Petrol,Individual,Manual,1
Maruti Swift,2012,0.99,8.73,119611,Petrol,Dealer,Manual,0
Maruti Vitara Brezza,2005,0.19,4.57,178449,Petrol,Dealer,Automatic,0
Mahindra Thar,2021,8.29,12.0,37509,Diesel,Individual,Automatic,0
Audi A6,2016,10.53,49.52,132424,Petrol,Individual,Automatic,0
Renault Duster,2006,0.15,3.16,211746,Diesel,Dealer,Manual,1
Ford Figo,2024,18.49,18.79,500,Petrol,Individual,Manual,1
Tata Nexon,2023,14.62,15.69,17226,Diesel,Individual,Manual,0
Hyundai Tucson,2014,0.34,7.34,169518,Petrol,Dealer,Manual,3
BMW 7 Series,2020,12.58,33.45,48594,Petrol,Individual,Automatic,1
Volkswagen Ameo,2011,0.98,12.1,162962,Diesel,Individual,Automatic,1
Skoda Superb,2005,0.29,7.23,158356,Diesel,Individual,Manual,0
Mahindra Thar,2017,1.89,7.41,48210,Diesel,Individual,Automatic,1
Renault Captur,2007,0.19,5.44,192185,Petrol,Dealer,Manual,1
Maruti Celerio,2015,1.71,7.5,127311,Diesel,Individual,Automatic,0
Mahindra Marazzo,2018,5.35,17.68,69191,Petrol,Dealer,Manual,0
Toyota Innova Crysta,2016,2.68,11.76,136332,Petrol,Dealer,Manual,0
Toyota Innova,2016,2.79,7.32,61683,Diesel,Dealer,Automatic,0
Audi A3,2021,21.22,36.01,48679,Petrol,Dealer,Manual,0
Hyundai i20,2011,0.99,7.85,112729,Diesel,Dealer,Automatic,1
Hyundai Elite i20,2014,3.58,12.75,161777,Diesel,Dealer,Automatic,0
Volkswagen Vento,2019,5.39,19.24,60982,Petrol,Dealer,Manual,1
Ford Figo,2023,13.83,16.52,11824,CNG,Individual,Automatic,0
Hyundai Elite i20,2014,2.07,10.33,136419,Diesel,Individual,Automatic,0
Tata Tiago,2016,4.58,13.77,142038,Diesel,Dealer,Automatic,0
Honda Brio,2021,10.96,19.48,37222,Diesel,Individual,Manual,0
Maruti Vitara Brezza,2004,0.25,10.89,346912,Petrol,Dealer,Manual,3
Toyota Yaris,2023,32.97,33.8,23906,Petrol,Dealer,Manual,0
Skoda Kodiaq,2020,3.04,10.44,38123,Petrol,Individual,Manual,3
Hyundai Santro,2021,5.61,8.67,29064,Diesel,Individual,Manual,0
Hyundai Elite i20,2015,1.4,7.93,127801,Petrol,Individual,Automatic,0
Maruti Ertiga,2023,4.61,5.24,9787,Diesel,Dealer,Automatic,1
Maruti Baleno,2022,4.67,7.46,16363,Petrol,Individual,Manual,1
Renault Triber,2024,9.44,9.03,6430,Diesel,Dealer,Automatic,1
Toyota Fortuner,2020,4.51,7.43,60204,Diesel,Dealer,Manual,0
Maruti Vitara Brezza,2018,2.84,9.21,92343,Petrol,Individual,Automatic,0
Honda CR-V,2015,3.21,21.42,72131,Petrol,Dealer,Manual,1
Hyundai i10,2013,1.01,7.39,184629,Diesel,Individual,Manual,0
Renault Captur,2021,6.21,11.01,34036,CNG,Dealer,Manual,1
Hyundai Tucson,2015,1.31,5.18,114682,Diesel,Individual,Automatic,0
Hyundai Venue,2003,0.52,13.98,190803,Petrol,Dealer,Manual,1
Tata Tiago,2014,0.72,4.81,119879,CNG,Individual,Manual,0
Maruti Celerio,2008,0.3,4.58,209158,Diesel,Individual,Automatic,0
Maruti Swift,2018,1.87,7.37,59588,Petrol,Individual,Manual,1
Hyundai i10,2024,4.44,4.32,7840,Petrol,Dealer,Manual,0
Hyundai Tucson,2017,4.86,15.61,121965,Diesel,Individual,Manual,0
Toyota Innova Crysta,2015,1.8,33.78,76618,Petrol,Individual,Manual,3
Hyundai i10,2021,7.16,15.13,41324,Petrol,Individual,Automatic,3
Maruti Wagon R,2015,1.53,6.08,152420,Petrol,Dealer,Automatic,0
Toyota Camry,2019,7.92,19.68,45683,Petrol,Dealer,Manual,1
Toyota Corolla,2012,2.07,32.52,209079,Petrol,Dealer,Manual,1
Maruti Swift,2019,5.09,11.71,67190,Petrol,Dealer,Manual,0
Maruti Swift,2010,1.29,11.22,229632,Diesel,Dealer,Automatic,0
Audi A6,2016,8.28,40.58,107236,Petrol,Dealer,Automatic,1
Honda Brio,2017,1.86,10.13,74288,Petrol,Individual,Manual,1
Maruti Baleno,2018,2.6,8.57,104993,Petrol,Dealer,Automatic,0
Maruti Swift,2016,1.99,9.8,136777,Petrol,Individual,Manual,0
Hyundai Tucson,2024,6.9,6.84,1858,Diesel,Dealer,Automatic,0
Skoda Octavia,2012,2.57,26.53,167728,Petrol,Individual,Automatic,0
Toyota Etios Cross,2023,20.62,23.71,10678,Diesel,Dealer,Automatic,1
Maruti Alto,2018,0.64,4.43,98496,Petrol,Individual,Manual,3
Maruti Baleno,2015,1.73,10.95,148520,Petrol,Individual,Manual,0
Tata Nano,2024,13.31,13.66,4373,Diesel,Dealer,Manual,0
Maruti Baleno,2020,1.57,4.93,39567,Petrol,Dealer,Automatic,3
Toyota Etios Cross,2023,32.09,33.49,12772,Petrol,Individual,Automatic,0
Tata Hexa,2024,21.08,20.36,1432,CNG,Individual,Manual,0
Volkswagen Jetta,2016,4.43,14.35,121285,Diesel,Individual,Automatic,0
Mahindra Thar,2024,18.12,18.2,500,CNG,Dealer,Manual,0
Toyota Innova Crysta,2020,7.6,17.73,64409,Petrol,Dealer,Automatic,1
Maruti Swift,2011,0.25,6.47,178568,CNG,Individual,Manual,1
Toyota Innova Crysta,2009,0.66,24.59,266599,Diesel,Dealer,Manual,3
Ford Freestyle,2011,1.9,22.12,206464,Petrol,Dealer,Manual,0
Volkswagen Vento,2021,3.75,5.59,57991,Diesel,Individual,Manual,0
Maruti Ertiga,2012,0.51,5.43,128029,Diesel,Individual,Manual,1
Mahindra Thar,2019,5.28,13.97,35490,Petrol,Dealer,Manual,1
Maruti Swift,2024,10.0,10.61,500,Petrol,Dealer,Automatic,1
Chevrolet Spark,2020,8.79,14.62,52179,Diesel,Dealer,Manual,0
Hyundai i10,2013,1.95,14.91,117141,Diesel,Dealer,Manual,1
Ford EcoSport,2023,4.08,5.0,10177,Petrol,Dealer,Manual,0
Renault Duster,2021,7.7,11.28,23238,Diesel,Dealer,Manual,0
Hyundai Elite i20,2014,0.91,4.91,99013,Petrol,Dealer,Manual,0
Mercedes-Benz GLE,2017,20.22,69.03,80107,Diesel,Individual,Automatic,1
Hyundai Xcent,2012,0.42,7.21,191572,Petrol,Individual,Automatic,1
Maruti Dzire,2015,0.52,5.37,143261,Petrol,Individual,Manual,1
Chevrolet Enjoy,2023,6.94,6.95,21734,Diesel,Individual,Automatic,0
Tata Tigor,2023,8.73,10.53,16852,Petrol,Individual,Manual,1
Maruti Alto,2021,4.78,8.47,45711,Petrol,Individual,Automatic,0
Honda Amaze,2012,1.51,23.3,201436,Petrol,Individual,Manual,0
Maruti Swift,2013,2.02,11.36,125170,Diesel,Dealer,Automatic,1
Ford Figo,2007,1.12,13.4,207094,Diesel,Dealer,Manual,0
Maruti Ciaz,2016,1.69,11.12,134575,Petrol,Dealer,Manual,1
Nissan Terrano,2024,11.8,12.32,2252,Diesel,Dealer,Manual,0
Tata Tigor,2018,5.64,12.24,77524,Diesel,Dealer,Manual,0
Ford Endeavour,2023,10.65,12.62,6059,Petrol,Individual,Manual,1
Audi A4,2017,17.58,40.2,71933,Diesel,Dealer,Automatic,0
Hyundai Creta,2010,0.52,8.54,231639,Petrol,Dealer,Manual,0
Maruti Ciaz,2022,2.95,4.69,22677,Petrol,Individual,Automatic,0
Hyundai Tucson,2012,1.27,9.56,104403,Diesel,Dealer,Manual,1
Ford Endeavour,2023,3.91,5.24,5766,Petrol,Individual,Manual,0
Hyundai Xcent,2011,0.42,10.64,151889,Petrol,Individual,Manual,1
Hyundai Elite i20,2015,1.92,13.06,146770,Petrol,Individual,Manual,0
Renault Captur,2017,2.06,6.31,77817,Diesel,Individual,Manual,0
Ford Aspire,2024,12.59,12.39,500,Diesel,Individual,Manual,0
Honda Civic,2022,13.34,19.46,32155,Petrol,Individual,Manual,0
Maruti Baleno,2024,11.83,11.21,500,Petrol,Dealer,Automatic,0
Maruti Dzire,2014,0.98,7.53,156196,Petrol,Dealer,Manual,1
Hyundai Verna,2005,0.38,11.75,264990,Diesel,Individual,Manual,0
Toyota Etios Cross,2022,27.41,32.16,24903,Petrol,Dealer,Manual,0
Renault Captur,2017,0.91,7.95,83543,Petrol,Individual,Manual,3
Hyundai i20,2018,1.41,5.31,65336,Petrol,Dealer,Manual,1
Honda WR-V,2022,13.37,21.67,24928,Petrol,Individual,Manual,1
Honda City,2017,2.81,10.19,106871,Petrol,Dealer,Manual,0
Toyota Innova Crysta,2024,27.46,25.4,7373,Petrol,Dealer,Automatic,0
Ford Figo,2019,3.37,8.31,45990,Petrol,Dealer,Manual,0
Renault Kwid,2022,8.04,10.12,18013,Diesel,Dealer,Automatic,0
Maruti Dzire,2022,6.17,7.71,17388,Diesel,Dealer,Manual,0
Ford Figo,2022,19.05,25.32,14088,Petrol,Individual,Automatic,0
Maruti Vitara Brezza,2023,7.91,8.23,11376,CNG,Dealer,Automatic,0
Maruti S-Cross,2014,1.09,8.54,125867,CNG,Dealer,Manual,1
Maruti Dzire,2019,4.07,9.58,55299,Diesel,Individual,Manual,1
Tata Nexon,2005,0.49,21.01,310236,Petrol,Individual,Manual,0
Toyota Corolla,2023,11.52,14.6,9191,Diesel,Dealer,Manual,0
Volkswagen Ameo,2021,7.37,12.64,54208,Petrol,Individual,Manual,0
Hyundai Santro,2023,8.44,9.52,20332,Diesel,Dealer,Automatic,0
Maruti Vitara Brezza,2014,1.83,10.01,103260,CNG,Individual,Automatic,0
Maruti Celerio,2023,8.58,11.14,9184,Petrol,Dealer,Manual,1
Chevrolet Beat,2016,4.46,12.85,91080,Diesel,Dealer,Manual,0
Nissan Micra,2009,0.35,6.69,262993,Petrol,Dealer,Automatic,0
Skoda Rapid,2022,4.43,7.77,37625,Petrol,Individual,Manual,3
